followers;genres;popularity;nationality;sex;group;founded;born;first_release;last_release;died;compilations;total_albums;total_appears_on;total_singles;total_tracks
272228;['turkish pop', 'turkish trap pop'];56;turkey;M;0;;1992.0;2015-05-05;2020-02-05;99.0;10;4;14;10;51
4889386;['g funk', 'gangster rap', 'hip hop'];80;us;M;0;;1965.0;1992-12-15;2019-10-04;99.0;35;8;38;6;167
378018;['comic', 'rap rock'];61;us;G;1;1989.0;;1995-01-25;2019-08-16;;0;50;0;0;897
566045;['j-pop', 'j-pop boy group', 'japanese r&b'];59;japan;G;1;2001.0;;2006-11-22;2020-01-22;;0;18;0;32;309
2484326;['sertanejo', 'sertanejo pop', 'sertanejo universitario'];67;brazil;G;1;2006.0;;2008-05-16;2020-01-24;;0;12;0;38;272
1585882;['banda', 'grupera', 'norteno'];71;us;F;0;;1969.0;1994-04-17;2020-02-28;2012.0;4;32;6;12;450
546333;['reggae fusion'];62;us;M;0;;1979.0;2004-10-28;2018-05-25;99.0;0;27;0;23;403
815761;['funk carioca'];54;brazil;M;0;;99.0;2017-02-25;2020-03-27;99.0;1;0;5;39;39
964871;['folk', 'lilith', 'pop rock'];72;us;F;0;;1964.0;1988-05-04;2020-04-17;99.0;34;8;38;2;89
3357973;['funk carioca', 'pagode', 'sertanejo'];69;brazil;G;1;2007.0;;2009-01-01;2020-04-10;;4;13;11;22;217
748445;['canadian folk', 'canadian singer-songwriter', 'folk'];69;canada;F;0;;1943.0;1968-01-03;2007-09-25;99.0;12;24;14;1;285
219240;['filmi', 'modern bollywood', 'sufi'];64;india;F;0;;1984.0;2011-02-28;2020-05-18;99.0;11;5;32;26;112
1496989;['baile pop', 'brazilian edm', 'funk carioca'];75;brazil;M;0;;1980.0;2015-11-20;2020-05-29;99.0;0;8;0;42;177
332227;['adoracao', 'brazilian gospel', 'funk evangelico'];49;brazil;M;0;;1976.0;2015-10-30;2020-05-05;99.0;4;4;38;14;102
974273;['art pop', 'indie r&b', 'indietronica'];72;uk;M;0;;1988.0;2009-08-13;2020-05-08;99.0;14;8;25;22;154
249676;['electric bass', 'jazz fusion', 'neo soul'];52;us;F;0;;1984.0;2006-04-04;2019-11-09;99.0;20;10;38;6;132
2327738;['k-pop', 'k-pop boy group'];77;south korea;G;1;2016.0;;2016-10-07;2020-05-19;;0;10;1;14;186
1507572;['classic soul', 'funk', 'memphis soul'];72;us;M;0;;1941.0;1964-01-01;2019-07-12;1967.0;19;21;8;4;321
341136;['french hip hop', 'pop urbaine', 'rap francais'];59;france;M;0;;1991.0;2012-04-16;2020-05-30;99.0;1;10;1;38;226
391430;['turkish rock'];61;turkey;G;1;2005.0;;2010-09-20;2020-03-01;;15;6;36;9;84
353645;['opm'];59;philippines;M;0;;1995.0;2012-01-01;2020-03-27;99.0;11;5;16;14;92
2605324;['chamber pop', 'eau claire indie', 'indie folk'];76;us;G;1;2006.0;;2008-02-19;2020-04-17;;12;6;30;9;87
945115;['contemporary country', 'country', 'country dawn'];72;us;G;1;1989.0;;1998-01-15;2020-05-01;;16;7;23;4;126
1238518;['cubaton', 'latin', 'latin hip hop'];73;cuba;G;1;2014.0;;2008-01-01;2020-05-15;;10;7;21;24;148
392857;['candy pop', 'dance pop', 'lilith'];60;us;F;0;;1983.0;2000-01-06;2020-02-28;99.0;0;6;38;6;104
439917;['francoton', 'french pop'];69;france;F;0;;1983.0;2007-01-01;2019-08-22;99.0;10;10;13;27;198
227278;['country', 'country rock'];59;us;M;0;;1954.0;1985-01-10;2005-04-19;99.0;24;9;21;0;107
663428;['afrofuturism', 'dance pop', 'electropop'];73;us;F;0;;2000.0;2010-10-26;2020-05-29;99.0;14;7;33;13;101
795273;['dominican pop', 'latin', 'latin hip hop'];69;dominican republic;M;0;;1995.0;2015-07-27;2020-04-17;99.0;0;0;4;48;48
1551688;['opm', 'pinoy indie'];77;philippines;G;1;2015.0;;2016-06-07;2020-04-16;;1;1;5;22;35
267094;['dirty south rap', 'gangster rap', 'hip hop'];58;us;M;0;;1981.0;2005-01-01;2020-05-12;99.0;0;12;17;22;203
710020;['gangster rap', 'hardcore hip hop', 'hip hop'];64;us;M;0;;1982.0;2003-01-01;2019-07-31;99.0;11;14;18;18;246
1032825;['desi pop', 'filmi', 'modern bollywood'];64;india;G;1;1997.0;;1999-01-29;2020-05-08;;0;49;0;1;428
403212;['francoton', 'french hip hop', 'french pop'];60;france;M;0;;1977.0;2001-01-01;2020-04-02;99.0;0;15;0;35;376
207704;['ecuadorian indie', 'ethnotronica', 'latintronica'];60;ecuador;M;0;;1987.0;2013-10-12;2020-03-27;99.0;4;6;26;31;156
372193;['pop'];68;us;F;0;;2001.0;2018-04-01;2020-04-17;99.0;24;0;29;15;20
336852;['alternative metal', 'alternative rock', 'funk metal'];59;us;G;1;1991.0;;1993-07-27;2020-05-01;;0;46;0;4;672
218987;['argentine rock', 'cumbia pop', 'latin alternative'];59;argentina;G;1;1996.0;;1996-01-01;2019-06-07;;9;11;12;7;153
551404;['contemporary country', 'country', 'country road'];63;us;M;0;;1965.0;1994-01-01;2019-04-19;99.0;2;11;30;8;125
694822;['mpb', 'nova mpb'];61;brazil;G;1;2002.0;;2002-01-01;2019-03-15;;0;3;2;6;54
365637;['trap argentino'];72;argentina;M;0;;1998.0;2018-04-20;2020-05-22;99.0;0;1;6;48;64
558485;['deep german hip hop', 'german hip hop'];61;germany;M;0;;1988.0;2012-11-16;2020-01-24;99.0;1;8;21;30;254
342770;['alternative dance', 'aussietronica', 'australian dance'];63;australia;G;1;2009.0;;2010-03-26;2019-10-17;;0;7;0;43;209
456734;['banda', 'cumbia', 'grupera'];65;mexico;G;1;1975.0;;1997-01-01;2019-09-27;;0;50;0;0;794
1229009;['contemporary country', 'country', 'country road'];73;us;M;0;;1980.0;2008-08-07;2020-05-15;99.0;11;4;27;13;84
836065;['dance pop', 'deep pop r&b', 'hip pop'];58;us;M;0;;1978.0;2000-09-05;2020-05-13;99.0;17;11;28;15;182
231691;['east coast hip hop', 'electro', 'funk'];50;jamaica;M;0;;1967.0;1987-10-25;2017-06-21;2011.0;39;5;40;2;70
728479;['sertanejo pop', 'sertanejo universitario'];69;brazil;F;0;;1998.0;2018-06-15;2020-04-24;99.0;0;3;9;12;75
438078;['dance pop', 'diva house', 'pop'];66;us;M;0;;1960.0;1992-07-01;2020-05-30;99.0;0;19;0;31;315
1106038;['norteno'];0;mexico;M;0;;1983.0;;;99.0;0;0;0;0;0
448674;[''];38;us;G;1;2016.0;;2019-08-01;2020-05-15;;0;2;0;7;22
372524;['melancholia', 'turkish pop', 'turkish rock'];56;turkey;M;0;;1979.0;2011-01-01;2020-05-05;99.0;8;3;28;19;62
919133;['deep german hip hop', 'german hip hop', 'hamburg hip hop'];77;germany;M;0;;1988.0;2014-05-23;2020-04-20;99.0;2;5;37;19;105
238728;['latin viral pop', 'spanish pop'];47;spain;G;1;2013.0;;2013-07-30;2020-05-29;;0;10;20;21;191
393162;['barbadian pop', 'dance pop', 'post-teen pop'];58;barbados;F;0;;1985.0;2008-01-01;2020-03-14;99.0;26;9;34;10;127
258434;['country', 'country rock', 'outlaw country'];43;us;M;0;;1936.0;1970-01-01;2019-10-24;99.0;12;18;24;7;289
724971;['classic italian pop', 'italian arena pop', 'italian pop'];61;italy;G;1;1999.0;;2003-02-01;2020-05-29;;2;12;8;7;217
916040;['alternative dance', 'australian dance', 'australian electropop'];69;australia;G;0;;2007.0;2008-01-01;2019-02-01;99.0;0;20;0;30;339
210786;['bebop', 'big band', 'contemporary post-bop'];55;us;M;0;;1930.0;1964-01-01;2020-04-17;99.0;0;50;0;0;463
208864;['turkish pop', 'turkish rock', 'turkish singer-songwriter'];56;turkey;F;0;;1979.0;2006-01-01;2020-05-15;99.0;5;10;12;21;131
469502;['big room', 'deep big room', 'dutch edm'];64;netherlands;G;1;1985.0;;2017-08-25;2020-05-08;;0;0;0;50;86
1924952;['pop', 'pop rap', 'social media pop'];68;us;F;0;;2003.0;2017-08-24;2020-04-22;99.0;0;1;2;20;37
8484619;['album rock', 'british invasion', 'classic rock'];82;uk;G;1;1962.0;;1964-01-01;2019-11-08;;0;50;0;0;837
1014973;['edm', 'electro house'];66;us;G;1;2013.0;;2014-09-17;2016-07-28;;14;1;14;7;34
240230;['german hip hop', 'german pop', 'german reggae'];55;germany;G;1;1991.0;;1996-01-01;2019-01-25;;6;5;14;8;107
1077818;['oyun havasi', 'turkish folk'];59;turkey;M;0;;1938.0;1985-05-05;2020-01-17;2012.0;0;47;0;3;541
745653;['gospel', 'gospel r&b'];65;us;M;0;;1970.0;1993-01-01;2020-05-29;99.0;9;19;15;17;310
893514;['argentine hip hop', 'trap argentino'];73;argentina;M;0;;2002.0;2017-06-15;2020-04-10;99.0;0;0;14;26;35
735999;['bhangra', 'desi pop', 'modern bollywood'];66;india;M;0;;1984.0;2011-01-01;2020-05-25;99.0;0;5;0;45;91
299109;['uk hip hop'];56;uk;G;1;2011.0;;2011-01-01;2018-12-10;;15;9;18;23;186
1148253;['deep pop r&b', 'detroit hip hop', 'pop rap'];69;us;F;0;;1991.0;2014-10-15;2020-05-29;99.0;3;1;19;33;84
1800019;['blues', 'blues rock', 'classic rock'];65;us;M;0;;1925.0;1988-01-01;2019-11-15;2015.0;0;50;0;0;790
3240838;['pop', 'pop rap', 'rap'];82;us;F;0;;1990.0;2014-08-04;2020-04-20;99.0;19;6;34;10;90
225987;['francoton', 'french pop'];55;france;F;0;;1985.0;2006-07-24;2020-04-16;99.0;1;10;4;36;197
222117;['cumbia chilena'];56;chile;G;1;99.0;;2013-03-14;2020-01-10;;0;4;2;3;55
2378235;['regional mexican pop'];72;mexico;M;0;;1997.0;2015-06-04;2020-05-01;99.0;5;6;10;15;91
306730;['album rock', 'blues rock', 'british blues'];45;uk;M;0;;1944.0;1965-01-01;2020-02-07;99.0;28;7;39;1;93
273853;['alternative hip hop', 'east coast hip hop', 'gangster rap'];61;us;M;0;;1969.0;1995-01-01;2019-08-23;99.0;22;7;38;7;117
312630;['deep turkish pop', 'turkish pop'];58;turkey;M;0;;1981.0;2010-09-14;2020-02-21;99.0;13;11;19;19;160
992469;['dance pop', 'europop', 'neo mellow'];68;uk;F;0;;1981.0;2004-08-24;2019-10-04;99.0;0;20;0;30;329
274059;['french hip hop', 'french reggae', 'rap conscient'];55;france;G;1;1989.0;;1991-03-06;2019-10-25;;8;12;13;12;352
258453;['funk bh', 'funk carioca', 'funk ostentacao'];57;brazil;M;0;;2000.0;2015-01-01;2020-05-27;99.0;4;1;15;37;50
2878518;['modern rock', 'neo mellow', 'piano rock'];73;us;G;1;2002.0;;2005-09-13;2016-10-28;;25;10;25;14;167
1802239;['atl hip hop', 'dance pop', 'dirty south rap'];78;us;M;0;;1977.0;2000-01-01;2020-05-21;99.0;0;23;0;27;410
376862;['classic soul', 'disco', 'funk'];57;us;M;0;;1942.0;1967-01-01;2017-11-10;2008.0;4;42;4;1;500
829805;['classic opm', 'manila sound', 'opm'];61;philippines;F;0;;1970.0;1989-11-11;2020-05-15;99.0;0;29;3;19;449
2535314;['hip hop', 'pop', 'pop rap'];76;us;M;0;;1984.0;2008-08-19;2020-05-15;99.0;0;28;0;22;447
1363845;['boy band', 'pop', 'rap'];82;us;G;1;2010.0;;2015-08-28;2020-03-06;;0;6;1;19;107
230215;['alternative r&b', 'escape room'];66;us;F;0;;1995.0;2017-02-03;2020-05-29;99.0;1;1;13;16;31
231520;['latin', 'latin hip hop', 'reggaeton'];61;puerto rico;M;0;;1979.0;2009-01-01;2020-04-24;99.0;2;5;6;38;103
525836;['banda', 'deep regional mexican', 'grupera'];59;mexico;G;1;2001.0;;2008-10-06;2020-05-15;;5;21;6;24;293
1460270;['alternative metal', 'alternative rock', 'cyberpunk'];69;us;G;1;1988.0;;1989-01-01;2020-03-27;;0;37;0;13;580
11492122;['k-pop', 'k-pop girl group'];80;south korea;G;1;2016.0;;2016-08-08;2020-05-29;;1;5;8;21;132
749077;['k-pop', 'k-pop girl group'];55;south korea;G;1;2009.0;;2009-06-15;2020-02-19;;3;7;14;32;179
250053;['korean trap', 'underground hip hop'];58;south korea;M;0;;1993.0;2015-07-27;2020-05-08;99.0;1;5;23;31;82
829472;['afrobeat brasileiro', 'brazilian hip hop', 'brazilian reggae'];62;brazil;M;0;;1975.0;2011-01-01;2020-05-08;99.0;6;9;29;18;130
203398;['alternative r&b', 'ambeat', 'indie soul'];58;australia;M;0;;1987.0;2011-05-08;2020-05-29;99.0;6;8;23;31;216
432047;['sertanejo', 'sertanejo tradicional', 'sertanejo universitario'];56;brazil;G;1;1980.0;;1981-06-29;2020-04-20;;3;32;15;3;560
732136;['latin', 'latin hip hop', 'reggaeton'];75;puerto rico;M;0;;1989.0;2017-08-25;2020-05-21;99.0;0;0;0;50;51
3353979;['regional mexican pop'];82;mexico;M;0;;1999.0;2017-01-13;2020-05-29;99.0;26;3;34;13;47
523706;['downtempo', 'electronica', 'livetronica'];64;us;G;1;1995.0;;1997-01-01;2020-04-03;;7;21;12;17;332
202872;['neo mellow', 'pop', 'pop rock'];72;us;M;0;;1997.0;2017-03-24;2020-05-13;99.0;22;2;33;18;58
312672;['atl hip hop', 'atl trap', 'gangster rap'];57;us;M;0;;1984.0;2014-04-17;2020-05-09;99.0;0;17;6;28;284
235807;['brazilian edm', 'brazilian hip hop', 'funk carioca'];71;brazil;F;0;;1994.0;2018-02-02;2020-05-14;99.0;0;1;4;18;27
2239656;['bmore', 'edm', 'electropop'];86;us;M;0;;1978.0;2004-08-23;2020-05-29;99.0;0;15;0;35;274
5675864;['art pop', 'dance pop', 'electropop'];79;new zealand;F;0;;1996.0;2013-01-01;2018-03-09;99.0;18;7;29;14;109
477503;['banda', 'deep regional mexican', 'grupera'];56;us;M;0;;1981.0;2006-01-01;2019-11-01;99.0;2;23;2;25;344
15209679;['dance pop', 'pop', 'post-teen pop'];86;us;F;0;;1984.0;2008-01-01;2020-05-29;99.0;0;30;0;20;441
1183489;['atl hip hop', 'dance pop', 'hip hop'];66;us;M;0;;1995.0;1997-10-21;2019-09-26;99.0;1;23;0;26;365
221419;['banda', 'cumbia', 'duranguense'];48;mexico;F;0;;1979.0;1995-10-12;2020-05-22;99.0;2;20;14;17;295
1782456;['k-hop', 'k-pop'];62;japan;M;0;;1988.0;2013-03-09;2019-05-31;99.0;3;6;41;9;158
806706;['latin', 'latin alternative', 'latin pop'];68;spain;M;0;;1995.0;1996-09-30;2020-05-26;99.0;0;36;0;14;547
1010431;['atl hip hop', 'dance pop', 'dirty south rap'];70;us;M;0;;1990.0;2007-01-01;2020-04-12;99.0;0;39;0;11;615
493502;['psychedelic trance'];62;israel;G;1;1996.0;;1999-01-01;2020-03-23;;0;37;0;13;416
658941;['banda', 'cumbia', 'grupera'];68;mexico;G;1;1979.0;;1987-10-02;2019-09-27;;3;42;5;3;586
257701;['bass music', 'dubstep', 'electronica'];53;uk;G;1;2006.0;;2005-05-16;2019-12-06;;2;13;3;34;267
201610;['classic soul', 'disco', 'funk', 'motown', 'new jack swing', 'post-disco', 'quiet storm', 'soul', 'urban contemporary'];48;us;G;1;1977.0;;1976-01-01;2009-08-24;;27;7;27;0;60
464057;['dance pop', 'electropop', 'indie poptimism'];70;us;F;0;;2000.0;2017-01-13;2020-04-03;99.0;1;0;5;33;51
570631;['ambient', 'braindance', 'electronica'];65;uk;M;0;;1971.0;1992-10-02;2019-11-15;99.0;0;14;5;31;377
292192;['francoton', 'french hip hop', 'french pop'];55;france;M;0;;1977.0;2004-08-01;2019-11-08;99.0;7;12;25;14;200
200273;['neo soul'];57;france;M;0;;1984.0;2009-01-01;2020-03-27;99.0;13;17;16;17;261
1805788;['detroit hip hop', 'detroit trap', 'hip hop'];74;us;M;0;;1994.0;2017-06-01;2020-05-01;99.0;0;9;8;34;166
207902;['dancehall', 'modern reggae'];68;jamaica;F;0;;2000.0;2018-11-13;2020-04-30;99.0;2;0;7;19;32
708579;['latin christian', 'latin worship'];66;us;M;0;;1962.0;1986-01-01;2020-02-05;99.0;0;41;0;9;502
269649;['edm', 'pop rap', 'rap'];67;sweden;G;1;1998.0;;2015-01-27;2020-01-30;;0;5;0;45;129
722640;['grupera', 'latin', 'latin pop'];62;argentina;F;0;;1956.0;1979-06-27;2020-04-17;99.0;16;22;20;5;275
214994;['alternative r&b', 'brooklyn indie', 'electropop'];60;us;G;1;2012.0;;2014-04-27;2020-05-07;;6;2;20;34;99
1053552;['funk', 'hip hop', 'hip pop'];61;us;F;0;;1972.0;2000-07-18;2018-09-28;99.0;4;36;0;10;585
235787;['lovers rock', 'modern reggae', 'reggae fusion'];57;jamaica;M;0;;1978.0;2003-01-01;2020-04-30;99.0;0;15;0;35;251
292304;['classic pakistani pop', 'filmi', 'modern bollywood'];41;pakistan;G;1;1988.0;;1990-01-04;2020-02-28;;15;8;23;20;106
553932;['alternative dance', 'chillwave', 'dream pop'];64;us;G;1;2007.0;;2009-01-01;2020-03-06;;17;8;27;24;141
551348;['baton rouge rap', 'crunk', 'dirty south rap'];56;us;M;0;;1973.0;2006-01-01;2020-02-19;2007.0;5;16;19;16;291
1555362;['dance pop', 'hip pop', 'neo soul'];68;us;M;0;;1977.0;2002-01-01;2020-05-27;99.0;0;34;0;16;547
291942;['classical', 'late romantic era', 'norwegian classical'];65;norway;M;0;;1843.0;2016-07-10;2020-05-16;1907.0;0;50;0;0;1861
1508105;['k-pop', 'k-pop boy group'];64;south korea;G;1;2016.0;;2016-09-04;2019-12-13;;2;0;5;9;16
2892398;['canadian hip hop', 'melodic rap', 'pop rap'];88;canada;M;0;;1992.0;2012-07-27;2020-05-15;99.0;0;10;0;40;245
740527;['funk carioca', 'sertanejo', 'sertanejo pop'];50;brazil;G;1;2008.0;;2011-01-08;2020-01-24;;3;5;28;24;113
780852;['argentine rock', 'electronica argentina', 'latin alternative'];69;argentina;G;1;1991.0;;1992-11-20;2020-03-06;;6;30;7;13;419
585496;['latin hip hop', 'mexican hip hop', 'perreo'];62;mexico;M;0;;1984.0;2014-11-11;2020-05-15;99.0;32;2;40;10;33
749663;['french hip hop', 'pop urbaine', 'rap conscient'];66;france;M;0;;1994.0;2017-07-03;2020-04-16;99.0;30;4;34;12;75
288876;['big room', 'edm', 'electro house'];64;us;M;0;;1991.0;2015-07-20;2020-05-26;99.0;0;2;0;48;94
441894;['italian arena pop', 'italian pop'];54;italy;M;0;;1981.0;2015-11-27;2020-05-01;99.0;4;7;16;10;153
1794272;['dance pop', 'pop', 'post-teen pop'];81;us;F;0;;1999.0;2013-01-01;2020-05-29;99.0;5;1;19;30;41
207984;['adoracao', 'brazilian gospel', 'brazilian hip hop'];46;brazil;G;1;2003.0;;2005-02-23;2020-04-10;;0;5;5;5;69
25393329;['permanent wave', 'pop'];88;uk;M;0;;1996.0;2000-10-07;2020-03-16;99.0;0;26;0;24;418
486679;['turkish pop', 'turkish rock'];55;turkey;G;1;1999.0;;2008-01-01;2020-05-22;;16;12;25;13;235
381362;['adult standards', 'bebop', 'contemporary post-bop'];64;puerto rico;M;0;;1929.0;1974-01-01;2020-04-17;1980.0;0;50;0;0;945
985062;['australian dance', 'australian pop', 'dance pop'];70;australia;F;0;;1968.0;2000-10-07;2019-12-06;99.0;0;50;0;0;981
399436;['anthem worship', 'ccm', 'christian alternative rock'];63;uk;M;0;;1974.0;1997-01-01;2020-01-31;99.0;0;22;0;28;363
956602;['houston rap', 'pop', 'pop rap'];84;us;F;0;;1995.0;2017-07-13;2020-05-29;99.0;0;8;22;26;109
393790;['album rock', 'blues', 'blues rock'];64;us;M;0;;1938.0;1971-01-01;2019-10-28;2013.0;10;40;7;0;597
207045;['funk', 'p funk', 'quiet storm'];61;us;M;0;;1951.0;1976-01-01;2020-05-15;99.0;6;21;8;18;318
693885;['funk carioca', 'funk ostentacao'];52;brazil;M;0;;2010.0;2015-12-18;2020-05-23;99.0;0;1;0;49;63
631405;['dub', 'reggae', 'roots reggae'];61;jamaica;M;0;;1944.0;1968-01-01;2020-01-30;1987.0;18;31;0;1;553
273682;['indie r&b', 'uk contemporary r&b'];64;uk;M;0;;1991.0;2013-03-21;2020-05-06;99.0;9;3;36;11;54
960386;['art pop', 'dance pop', 'dance rock'];70;uk;G;1;1981.0;;1990-10-22;2020-01-24;;0;50;0;0;828
676422;['big room', 'deep big room', 'edm'];69;netherlands;G;1;2007.0;;2011-09-23;2020-05-29;;0;3;0;47;142
448149;['corrido', 'regional mexican pop'];68;mexico;G;1;2015.0;;2016-09-12;2020-04-10;;5;4;16;11;63
3894417;['arkansas country', 'outlaw country'];79;us;M;0;;1932.0;1955-01-01;2019-11-08;2003.0;0;50;0;0;928
1425599;['dance pop', 'pop', 'post-teen pop'];86;us;F;0;;1994.0;2017-04-08;2020-05-06;99.0;1;0;4;48;97
2138398;['latin pop', 'spanish pop', 'spanish pop rock'];75;spain;M;0;;1979.0;2003-01-01;2019-11-29;99.0;0;17;1;32;351
381824;['alternative rock', 'blues rock', 'garage rock'];58;us;G;1;1998.0;;2004-01-01;2019-06-07;;6;15;9;3;213
408934;['axe', 'forro', 'modern samba'];63;brazil;M;0;;1981.0;2007-01-01;2020-04-24;99.0;12;13;26;14;223
2585838;['dance pop', 'post-teen pop', 'social media pop'];73;us;F;0;;1996.0;2011-01-01;2019-08-04;99.0;23;1;31;21;53
541032;['brazilian rock', 'rock gaucho', 'rock nacional brasileiro'];53;brazil;G;1;1983.0;;1984-01-01;2020-05-22;;9;9;12;8;144
230175;['brazilian hip hop', 'trap brasileiro'];63;brazil;M;0;;99.0;2016-06-10;2020-05-15;99.0;0;11;0;39;193
1967425;['afrofuturismo brasileiro', 'baile pop', 'pop nacional'];70;brazil;F;0;;1990.0;2016-11-18;2020-05-21;99.0;17;1;26;22;36
241206;['adult standards', 'bebop', 'big band'];57;us;M;0;;1909.0;1990-10-23;2020-02-18;1986.0;0;50;0;0;1124
325960;['instrumental rock', 'metal guitar', 'neo classical metal'];53;us;M;0;;1960.0;1990-07-01;2020-02-07;99.0;11;27;1;11;376
449950;['east coast hip hop', 'gangster rap', 'hardcore hip hop'];59;us;M;0;;1968.0;1993-01-01;2020-04-03;99.0;19;10;27;15;201
218368;['baile pop', 'nova mpb'];66;brazil;M;0;;1988.0;2012-04-05;2020-05-22;99.0;8;14;13;27;225
7679328;['dance pop', 'latin', 'miami hip hop'];84;us;M;0;;1981.0;2004-03-08;2019-09-27;99.0;0;50;0;0;778
309163;['latin christian', 'latin worship'];57;venezuela;M;0;;1977.0;2003-01-14;2020-05-29;99.0;5;7;25;11;91
418164;['french hip hop', 'pop urbaine', 'rap calme'];68;france;M;0;;1991.0;2017-01-20;2020-05-28;99.0;0;13;5;35;314
1043533;['art pop', 'canadian electropop', 'chillwave'];73;canada;F;0;;1988.0;2010-01-10;2020-05-01;99.0;1;13;8;31;211
275947;['cumbia pop', 'pop argentino'];58;argentina;F;0;;1987.0;2017-07-21;2020-02-21;99.0;0;2;0;15;33
283520;['dancehall', 'modern reggae', 'panamanian pop'];61;jamaica;M;0;;1981.0;2007-10-07;2020-05-08;99.0;0;8;0;42;190
750222;['baile pop', 'funk carioca'];67;brazil;F;0;;1994.0;2015-01-01;2020-05-22;99.0;2;0;22;34;48
490469;['turkish pop', 'turkish rock'];58;turkey;G;1;1997.0;;2005-04-21;2019-06-11;;14;8;22;8;94
987450;['adult standards', 'jazz blues', 'soul'];69;us;F;0;;1938.0;1960-01-01;2020-03-13;2012.0;0;46;0;4;706
2251781;['latin', 'latin arena pop', 'latin pop'];71;venezuela;M;0;;1954.0;1982-09-26;2020-02-07;99.0;3;27;9;14;399
695206;['dance pop', 'grime', 'pop'];69;uk;M;0;;1988.0;2008-09-15;2020-04-30;99.0;0;15;0;35;278
532747;['electropop', 'indie pop', 'la indie'];76;us;M;0;;1997.0;2016-12-08;2019-12-13;99.0;3;0;7;21;32
816263;['ccm', 'christian alternative rock', 'christian hip hop'];69;us;M;0;;1964.0;2001-01-01;2020-05-08;99.0;2;23;3;24;421
820477;['brazilian reggae', 'brazilian rock', 'pagode'];57;brazil;G;1;2000.0;;2002-12-10;2018-09-24;;4;6;8;5;93
443857;['deep indian pop', 'filmi', 'tamil pop'];54;india;M;0;;1983.0;2010-01-08;2020-05-20;99.0;0;50;0;0;519
335641;['girl group', 'hip pop', 'pop rap'];47;us;G;1;1999.0;;2000-01-01;2007-01-30;;15;3;40;8;59
274489;['trap espanol'];67;spain;M;0;;1992.0;2015-10-31;2020-05-28;99.0;0;5;0;45;113
3953379;['dirty south rap', 'gangster rap', 'hip hop'];82;us;M;0;;1976.0;2006-01-01;2020-05-08;99.0;0;37;0;13;604
625383;['desi pop', 'modern bollywood', 'punjabi pop'];59;india;M;0;;1988.0;2015-09-25;2020-02-20;99.0;21;0;29;28;57
214996;['french indie pop', 'french rock'];63;france;G;1;2006.0;;2010-05-31;2020-04-29;;17;9;25;16;165
325919;['turkish pop', 'turkish rock'];62;turkey;F;0;;1988.0;2018-02-23;2020-05-15;99.0;0;0;7;12;16
2997374;['baile pop', 'brazilian edm', 'funk carioca'];68;brazil;M;0;;1989.0;2017-04-26;2020-04-15;99.0;0;1;0;49;66
543642;['dmv rap', 'drill', 'gangster rap'];66;us;M;0;;1992.0;2014-02-17;2020-04-10;99.0;0;14;16;24;236
430016;['dance pop', 'pop rap'];65;norway;G;1;2010.0;;2013-12-04;2019-08-23;;3;2;26;22;81
2084985;['contemporary country', 'country', 'country road'];76;us;G;1;2002.0;;2008-11-17;2020-05-29;;6;11;25;13;194
940185;['opm'];61;philippines;M;0;;1995.0;2014-05-15;2017-11-10;99.0;5;1;10;7;24
2971506;['latin', 'latin hip hop', 'reggaeton'];67;puerto rico;G;1;2000.0;;2005-11-15;2020-05-15;;0;15;3;32;249
2900640;['french hip hop', 'pop urbaine'];76;france;M;0;;1994.0;2015-02-10;2020-05-21;99.0;24;8;29;13;148
1596406;['alternative rock', 'east coast hip hop', 'hip hop', 'old school hip hop', 'rap'];73;us;G;1;1981.0;;1986-11-15;2019-08-02;;8;19;4;23;515
302182;['alternative rock', 'big beat', 'britpop'];61;uk;G;1;1982.0;;1987-05-10;2019-07-05;;0;46;0;4;667
1171775;['french hip hop', 'pop urbaine', 'rap algerien'];78;algeria;M;0;;1989.0;2016-10-26;2020-05-29;99.0;16;4;21;25;97
2580967;['dance pop', 'hip hop', 'pop'];80;us;M;0;;1985.0;2005-01-01;2020-04-24;99.0;0;33;0;17;583
818233;['dance pop', 'pop', 'post-teen pop'];78;us;F;0;;1996.0;2018-12-02;2020-01-10;99.0;7;0;18;13;15
287787;['trap mexicano'];62;mexico;M;0;;1992.0;2011-07-14;2020-05-27;99.0;0;8;0;42;141
1311644;['latin alternative', 'reggae en espanol', 'rock en espanol'];68;puerto rico;G;1;1996.0;;1998-09-06;2020-02-21;;14;10;26;15;178
387149;['adoracao', 'brazilian gospel'];60;brazil;F;0;;1995.0;2014-05-09;2020-03-27;99.0;3;1;10;15;32
435267;['electropop', 'pop'];78;us;F;0;;1995.0;2017-10-27;2020-05-29;99.0;4;0;19;39;80
243023;['german alternative rap', 'german pop', 'german rock'];59;germany;G;1;1992.0;;1994-01-05;2019-05-03;;2;14;9;29;315
716629;['vallenato'];66;colombia;G;1;1976.0;;1995-01-01;2020-04-17;;8;17;12;4;239
607647;['dance pop', 'electropop', 'indie poptimism'];64;us;G;1;2008.0;;2015-07-17;2019-11-15;;9;2;11;14;53
1551110;['adoracao', 'brazilian gospel', 'rock gospel brasileiro'];69;brazil;M;0;;1985.0;2003-01-01;2020-05-29;99.0;1;14;25;16;198
287092;['reggae', 'rock steady', 'ska'];61;jamaica;G;1;1962.0;;1973-01-01;2020-02-04;;0;40;0;10;589
